;,,,,,
boxname,relation product id,period,quantity,"grade
0, 1, 2, 3",rate
DecoderA,435,-1,0,4,
DecoderA,421,-1,0,4,
DecoderA,399,-1,0,4,
DecoderA,495,-1,0,4,
DecoderA,415,-1,0,4,
DecoderA,283,-1,0,4,
DecoderA,379,-1,0,4,
DecoderA,310,-1,0,4,
DecoderA,279,-1,0,4,
DecoderA,280,-1,0,4,
DecoderA,530,-1,0,4,
DecoderA,548,-1,0,4,
DecoderA,487,-1,0,4,
DecoderA,169,-1,0,4,
DecoderA,171,-1,0,4,
DecoderA,330,-1,0,4,
DecoderA,203,-1,0,4,
DecoderA,440,-1,0,4,
DecoderA,405,-1,0,4,
DecoderA,222,-1,0,4,
DecoderA,398,-1,0,4,
DecoderA,202,-1,0,4,
DecoderA,170,-1,0,4,
DecoderA,420,-1,0,4,
DecoderA,441,-1,0,4,
DecoderA,434,-1,0,4,
DecoderA,590,-1,0,4,
DecoderA,583,-1,0,4,
DecoderA,496,-1,0,4,
DecoderA,488,-1,0,4,
DecoderA,549,-1,0,4,
DecoderA,484,-1,0,4,
DecoderA,341,-1,0,4,
DecoderA,243,-1,0,4,
DecoderA,364,-1,0,4,
DecoderA,380,-1,0,4,
DecoderA,346,-1,0,4,
DecoderA,221,-1,0,4,
DecoderA,309,-1,0,4,
DecoderA,244,-1,0,4,
DecoderA,406,-1,0,4,
DecoderA,220,-1,0,4,
DecoderA,354,-1,0,4,
DecoderA,172,-1,0,4,
DecoderA,253,-1,0,4,
DecoderA,254,-1,0,4,
DecoderA,154,-1,0,4,
DecoderA,152,-1,0,4,
DecoderA,602,-1,0,4,
DecoderA,515,-1,0,4,
DecoderA,516,-1,0,4,
DecoderA,151,-1,0,3,
DecoderA,153,-1,0,3,
DecoderA,155,-1,0,3,
DecoderA,150,-1,0,3,
DecoderA,328,-1,0,3,
DecoderA,329,-1,0,3,
EventDecoderA,435,-1,0,4
EventDecoderA,421,-1,0,4
EventDecoderA,399,-1,0,4
EventDecoderA,495,-1,0,4
EventDecoderA,415,-1,0,4
EventDecoderA,283,-1,0,4
EventDecoderA,379,-1,0,4
EventDecoderA,310,-1,0,4
EventDecoderA,279,-1,0,4
EventDecoderA,280,-1,0,4
EventDecoderA,530,-1,0,4
EventDecoderA,548,-1,0,4
EventDecoderA,487,-1,0,4
EventDecoderA,169,-1,0,4
EventDecoderA,171,-1,0,4
EventDecoderA,330,-1,0,4
EventDecoderA,203,-1,0,4
EventDecoderA,440,-1,0,4
EventDecoderA,405,-1,0,4
EventDecoderA,222,-1,0,4
EventDecoderA,398,-1,0,4
EventDecoderA,202,-1,0,4
EventDecoderA,170,-1,0,4
EventDecoderA,420,-1,0,4
EventDecoderA,441,-1,0,4
EventDecoderA,434,-1,0,4
EventDecoderA,590,-1,0,4
EventDecoderA,583,-1,0,4
EventDecoderA,496,-1,0,4
EventDecoderA,488,-1,0,4
EventDecoderA,549,-1,0,4
EventDecoderA,484,-1,0,4
EventDecoderA,341,-1,0,4
EventDecoderA,243,-1,0,4
EventDecoderA,364,-1,0,4
EventDecoderA,380,-1,0,4
EventDecoderA,346,-1,0,4
EventDecoderA,221,-1,0,4
EventDecoderA,309,-1,0,4
EventDecoderA,244,-1,0,4
EventDecoderA,406,-1,0,4
EventDecoderA,220,-1,0,4
EventDecoderA,354,-1,0,4
EventDecoderA,172,-1,0,4
EventDecoderA,253,-1,0,4
EventDecoderA,254,-1,0,4
EventDecoderA,154,-1,0,4
EventDecoderA,152,-1,0,4
EventDecoderA,602,-1,0,4
EventDecoderA,515,-1,0,4
EventDecoderA,516,-1,0,4
EventDecoderA,151,-1,0,3,
EventDecoderA,153,-1,0,3,
EventDecoderA,155,-1,0,3,
EventDecoderA,150,-1,0,3,
EventDecoderA,328,-1,0,3,
EventDecoderA,329,-1,0,3,
DecoderAA,495,-1,0,4,
DecoderAA,487,-1,0,4,
DecoderAA,365,-1,0,4,
DecoderAA,435,-1,0,4,
DecoderAA,415,-1,0,4,
DecoderAA,405,-1,0,4,
DecoderAA,399,-1,0,4,
DecoderAA,398,-1,0,4,
DecoderAA,440,-1,0,4,
DecoderAA,496,-1,0,4,
DecoderAA,488,-1,0,4,
DecoderAA,441,-1,0,4,
DecoderAA,434,-1,0,4,
DecoderAA,420,-1,0,4,
DecoderAA,416,-1,0,4,
DecoderAA,406,-1,0,4,
DecoderAA,354,-1,0,4,
DecoderAA,346,-1,0,4,
DecoderAA,253,-1,0,4,
DecoderAA,254,-1,0,4,
DecoderAA,154,-1,0,4,
DecoderAA,152,-1,0,4,
DecoderAA,515,-1,0,4,
DecoderAA,516,-1,0,4,
DecoderAA,151,-1,0,3,
DecoderAA,153,-1,0,3,
DecoderAA,155,-1,0,3,
DecoderAA,150,-1,0,3,
DecoderAA,328,-1,0,3,
DecoderAA,329,-1,0,3,
EventDecoderAA,495,-1,0,4
EventDecoderAA,487,-1,0,4
EventDecoderAA,365,-1,0,4
EventDecoderAA,435,-1,0,4
EventDecoderAA,415,-1,0,4
EventDecoderAA,405,-1,0,4
EventDecoderAA,399,-1,0,4
EventDecoderAA,398,-1,0,4
EventDecoderAA,440,-1,0,4
EventDecoderAA,496,-1,0,4
EventDecoderAA,488,-1,0,4
EventDecoderAA,441,-1,0,4
EventDecoderAA,434,-1,0,4
EventDecoderAA,420,-1,0,4
EventDecoderAA,416,-1,0,4
EventDecoderAA,406,-1,0,4
EventDecoderAA,354,-1,0,4
EventDecoderAA,346,-1,0,4
EventDecoderAA,253,-1,0,4
EventDecoderAA,254,-1,0,4
EventDecoderAA,154,-1,0,4
EventDecoderAA,152,-1,0,4
EventDecoderAA,515,-1,0,4
EventDecoderAA,516,-1,0,4
EventDecoderAA,151,-1,0,3,
EventDecoderAA,153,-1,0,3,
EventDecoderAA,155,-1,0,3,
EventDecoderAA,150,-1,0,3,
EventDecoderAA,328,-1,0,3,
EventDecoderAA,329,-1,0,3,
DecoderB,428,-1,0,4,
DecoderB,677,-1,0,4,
DecoderB,589,-1,0,4,
DecoderB,548,-1,0,4,
DecoderB,530,-1,0,4,
DecoderB,457,-1,0,4,
DecoderB,421,-1,0,4,
DecoderB,602,-1,0,4,
DecoderB,590,-1,0,4,
DecoderB,549,-1,0,4,
DecoderB,531,-1,0,4,
DecoderB,253,-1,0,4,
DecoderB,254,-1,0,4,
DecoderB,154,-1,0,4,
DecoderB,152,-1,0,4, 
DecoderB,515,-1,0,4,
DecoderB,516,-1,0,4,
DecoderB,151,-1,0,3,
DecoderB,153,-1,0,3,
DecoderB,155,-1,0,3,
DecoderB,150,-1,0,3,
DecoderB,328,-1,0,3,
DecoderB,329,-1,0,3,
EventDecoderB,428,-1,0,4
EventDecoderB,677,-1,0,4
EventDecoderB,589,-1,0,4
EventDecoderB,548,-1,0,4
EventDecoderB,530,-1,0,4
EventDecoderB,457,-1,0,4
EventDecoderB,421,-1,0,4
EventDecoderB,602,-1,0,4
EventDecoderB,590,-1,0,4
EventDecoderB,549,-1,0,4
EventDecoderB,531,-1,0,4
EventDecoderB,253,-1,0,4
EventDecoderB,254,-1,0,4
EventDecoderB,154,-1,0,4
EventDecoderB,152,-1,0,4
EventDecoderB,515,-1,0,4
EventDecoderB,516,-1,0,4
EventDecoderB,151,-1,0,3,
EventDecoderB,153,-1,0,3,
EventDecoderB,155,-1,0,3,
EventDecoderB,150,-1,0,3,
EventDecoderB,328,-1,0,3,
EventDecoderB,329,-1,0,3,