;임무 번호,"타입(0=일일, 1=스페셜, 2=명예, 10=PC방일일, 11=PC방스페, 12=PC명예)",NPC 식별자,임무 제목,임무 제목 인수,NPC 내레이션,NPC 내레이션 인수,선행 임무,임무 시작 시각,임무 종료 시각,"Arguments(XML형식, 서버에서 사용)","Variables(XML형식, 서버에서 사용)",조건0 설명,조건0 인수,조건0 목표치,조건1 설명,조건1 인수,조건1 목표치,조건2 설명,조건2 인수,조건2 목표치,조건3 설명,조건3 인수,조건3 목표치,조건4 설명,조건4 인수,조건4 목표치,조건5 설명,조건5 인수,조건5 목표치,보상0 리소스 네임,보상0 연결 reward ID,보상1 리소스 네임,보상1 연결 Reward ID,보상2 리소스 네임,보상2 연결 Reward ID,보상3 리소스 네임,보상3 연결 Reward ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
1,0,1,#CSO_Quest_Daily001_Name,,#CSO_Quest_Daily001_Desc,,0,,,,,#CSO_Quest_Daily001_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
2,0,5,#CSO_Quest_Daily002_Name,,#CSO_Quest_Daily002_Desc,,0,,,,,#CSO_Quest_Daily002_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
3,0,4,#CSO_Quest_Daily003_Name,,#CSO_Quest_Daily003_Desc,,0,,,,<vars><val init='0' /></vars>,#CSO_Quest_Daily003_Cond1_Arg1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
4,0,2,#CSO_Quest_Daily004_Name,,#CSO_Quest_Daily004_Desc,,0,,,,,#CSO_Quest_Daily004_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
5,0,1,#CSO_Quest_Daily005_Name,,#CSO_Quest_Daily005_Desc,,0,,,,,#CSO_Quest_Daily005_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
6,0,3,#CSO_Quest_Daily006_Name,,#CSO_Quest_Daily006_Desc,,0,,,,,#CSO_Quest_Daily006_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
7,0,4,#CSO_Quest_Daily007_Name,,#CSO_Quest_Daily007_Desc,,0,,,,,#CSO_Quest_Daily007_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
8,0,5,#CSO_Quest_Daily008_Name,,#CSO_Quest_Daily008_Desc,,0,,,,<vars><knife init='0' /><pistol init='0' /></vars>,#CSO_Quest_Daily008_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
9,0,4,#CSO_Quest_Daily009_Name,,#CSO_Quest_Daily009_Desc,,0,,,,<vars><val init='0' /></vars>,#CSO_Quest_Daily009_Cond1_Arg1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
10,0,0,#CSO_Quest_Daily010_Name,,#CSO_Quest_Daily010_Desc,,0,,,,<vars><flag init='0' /></vars>,#CSO_Quest_Daily010_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
11,0,0,#CSO_Quest_Daily011_Name,,#CSO_Quest_Daily011_Desc,,0,,,,,#CSO_Quest_Daily011_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
12,0,3,#CSO_Quest_Daily012_Name,,#CSO_Quest_Daily012_Desc,,0,,,,,#CSO_Quest_Daily012_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
13,0,5,#CSO_Quest_Daily013_Name,,#CSO_Quest_Daily013_Desc,,0,,,,,#CSO_Quest_Daily013_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
14,0,2,#CSO_Quest_Daily014_Name,,#CSO_Quest_Daily014_Desc,,0,,,,,#CSO_Quest_Daily014_Cond1,,10,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
16,0,2,#CSO_Quest_Daily016_Name,,#CSO_Quest_Daily016_Desc,,0,,,,,#CSO_Quest_Daily016_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
17,0,3,#CSO_Quest_Daily017_Name,,#CSO_Quest_Daily017_Desc,,0,,,,,#CSO_Quest_Daily017_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
18,0,4,#CSO_Quest_Daily018_Name,,#CSO_Quest_Daily018_Desc,,0,,,,,#CSO_Quest_Daily018_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
19,0,0,#CSO_Quest_Daily019_Name,,#CSO_Quest_Daily019_Desc,,0,,,,,#CSO_Quest_Daily019_Cond1,,50,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
20,0,2,#CSO_Quest_Daily020_Name,,#CSO_Quest_Daily020_Desc,,0,,,,,#CSO_Quest_Daily020_Cond1,,3,#CSO_Quest_Daily020_Cond2,,3,#CSO_Quest_Daily020_Cond3,,3,,,,,,,,,,0,4001,2,4003,,,,,,,
501,3,6,#CSO_Quest_Weekly001_Name,,#CSO_Quest_Weekly001_Desc,,0,,,,,#CSO_Quest_Weekly001_Cond1,,7,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
502,3,6,#CSO_Quest_Weekly002_Name,,#CSO_Quest_Weekly002_Desc,,0,,,,,#CSO_Quest_Weekly002_Cond1,,5,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
503,3,7,#CSO_Quest_Weekly003_Name,,#CSO_Quest_Weekly003_Desc,,0,,,,<vars><dt_sec /></vars>,#CSO_Quest_Weekly003_Cond1,,5,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
504,3,7,#CSO_Quest_Weekly004_Name,,#CSO_Quest_Weekly004_Desc,,0,,,,<vars><dt_sec /></vars>,#CSO_Quest_Weekly004_Cond1,,5,,,,,,,,,,,,,,,,9,4015,10,4016,,,,,,,
1001,1,4,#CSO_Quest_Special001_Name_Arg1,<mapName>,#CSO_Quest_Special001_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special001_Cond1_Arg1,<mapName>,15,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1002,1,2,#CSO_Quest_Special002_Name_Arg1,<mapName>,#CSO_Quest_Special002_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special002_Cond1_Arg1,<mapName>,60,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1003,1,2,#CSO_Quest_Special003_Name_Arg1,<mapName>,#CSO_Quest_Special003_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special003_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1004,1,4,#CSO_Quest_Special004_Name_Arg1,<mapName>,#CSO_Quest_Special004_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special004_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1005,1,2,#CSO_Quest_Special005_Name_Arg1,<mapName>,#CSO_Quest_Special005_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special005_Cond1_Arg1,<mapName>,120,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1006,1,2,#CSO_Quest_Special006_Name_Arg1,<mapName>,#CSO_Quest_Special006_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special006_Cond1_Arg1,<mapName>,80,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1007,1,0,#CSO_Quest_Special007_Name_Arg1,<mapName>,#CSO_Quest_Special007_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special007_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1008,1,0,#CSO_Quest_Special008_Name_Arg1,<mapName>,#CSO_Quest_Special008_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special008_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1009,1,0,#CSO_Quest_Special009_Name_Arg1,<mapName>,#CSO_Quest_Special009_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special009_Cond1_Arg1,<mapName>,5,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1012,1,2,#CSO_Quest_Special012_Name_Arg1,<mapName>,#CSO_Quest_Special012_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special012_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1013,1,4,#CSO_Quest_Special013_Name_Arg1,<mapName>,#CSO_Quest_Special013_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special013_Cond1_Arg1,<mapName>,150,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1015,1,2,#CSO_Quest_Special015_Name_Arg1,<mapName>,#CSO_Quest_Special015_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special015_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1016,1,2,#CSO_Quest_Special016_Name_Arg1,<mapName>,#CSO_Quest_Special016_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special016_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1017,1,2,#CSO_Quest_Special017_Name_Arg1,<mapName>,#CSO_Quest_Special017_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special017_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1018,1,4,#CSO_Quest_Special018_Name_Arg1,<mapName>,#CSO_Quest_Special018_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special018_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1019,1,2,#CSO_Quest_Special019_Name_Arg1,<mapName>,#CSO_Quest_Special019_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special019_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1020,1,0,#CSO_Quest_Special020_Name_Arg1,<mapName>,#CSO_Quest_Special020_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special020_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1021,1,0,#CSO_Quest_Special021_Name_Arg1,<mapName>,#CSO_Quest_Special021_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special021_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
2001,2,4,#CSO_Quest_Honor001_Name,,#CSO_Quest_Honor001_Desc,,0,,,,,#CSO_Quest_Honor001_Cond1,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,1,7,
2002,2,4,#CSO_Quest_Honor002_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4008,,,,,,,2,7,
2003,2,4,#CSO_Quest_Honor003_Name,,#CSO_Quest_Honor003_Desc,,0,,,,,#CSO_Quest_Honor003_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,3,4,
2004,2,4,#CSO_Quest_Honor004_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,7,1
2005,2,4,#CSO_Quest_Honor005_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
2006,2,4,#CSO_Quest_Honor006_Name,,#CSO_Quest_Honor006_Desc,,0,,,,,#CSO_Quest_Honor006_Cond1,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,6,6,
2007,2,4,#CSO_Quest_Honor007_Name,,#CSO_Quest_Honor007_Desc,,0,,,,,#CSO_Quest_Honor007_Cond1,,5000,,,,,,,,,,,,,,,,4,4006,,,,,,,7,3,
2008,2,4,#CSO_Quest_Honor008_Name,,#CSO_Quest_Honor008_Desc,,0,,,,,#CSO_Quest_Honor008_Cond1,,5000,,,,,,,,,,,,,,,,4,4006,,,,,,,8,3,
2009,2,4,#CSO_Quest_Honor009_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,7,1
2010,2,4,#CSO_Quest_Honor010_Name,,#CSO_Quest_Honor010_Desc,,0,,,,,#CSO_Quest_Honor010_Cond1,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,10,4,
2011,2,4,#CSO_Quest_Honor011_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4009,,,,,,,11,7,
2012,2,4,#CSO_Quest_Honor012_Name,,#CSO_Quest_Honor012_Desc,,0,,,,<vars><playtime init='0'/></vars>,#CSO_Quest_Honor012_Cond1,,10,,,,,,,,,,,,,,,,4,4005,,,,,,,12,7,
2013,2,4,#CSO_Quest_Honor013_Name,,#CSO_Quest_Honor013_Desc,,0,,,,,#CSO_Quest_Honor013_Cond1,,100,,,,,,,,,,,,,,,,4,4005,,,,,,,13,2,
2014,2,4,#CSO_Quest_Honor014_Name,,#CSO_Quest_Honor014_Desc,,0,,,,,#CSO_Quest_Honor014_Cond1,,50,#CSO_Quest_Honor014_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,14,2,
2015,2,4,#CSO_Quest_Honor015_Name,,#CSO_Quest_Honor015_Desc,,0,,,,,#CSO_Quest_Honor015_Cond1,,100,#CSO_Quest_Honor015_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,15,2,
