;임무 번호,"타입(0=일일, 1=스페셜, 2=명예, 10=PC방일일, 11=PC방스페, 12=PC명예)",NPC 식별자,임무 제목,임무 제목 인수,NPC 내레이션,NPC 내레이션 인수,선행 임무,임무 시작 시각,임무 종료 시각,"Arguments(XML형식, 서버에서 사용)","Variables(XML형식, 서버에서 사용)",조건0 설명,조건0 인수,조건0 목표치,조건1 설명,조건1 인수,조건1 목표치,조건2 설명,조건2 인수,조건2 목표치,조건3 설명,조건3 인수,조건3 목표치,조건4 설명,조건4 인수,조건4 목표치,조건5 설명,조건5 인수,조건5 목표치,보상0 리소스 네임,보상0 연결 reward ID,보상1 리소스 네임,보상1 연결 Reward ID,보상2 리소스 네임,보상2 연결 Reward ID,보상3 리소스 네임,보상3 연결 Reward ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
2016,2,4,#CSO_Quest_Honor016_Name,,#CSO_Quest_Honor016_Desc,,0,,,,,#CSO_Quest_Honor016_Cond1,,200,#CSO_Quest_Honor016_Cond2,,10,,,,,,,,,,,,,4,4005,,,,,,,16,2,
2017,2,4,#CSO_Quest_Honor017_Name,,#CSO_Quest_Honor017_Desc,,0,,,,,#CSO_Quest_Honor017_Cond1,,50,,,,,,,,,,,,,,,,4,4005,,,,,,,17,2,
2018,2,4,#CSO_Quest_Honor018_Name,,,,0,,,,,,,5000,,,100,,,1000,,,100,,,,,,,4,4007,,,,,,,18,2,
2019,2,4,#CSO_Quest_Honor019_Name,,,,0,,,,,,,500,,,1000,,,5000,,,,,,,,,,4,4007,,,,,,,19,2,
2020,2,4,#CSO_Quest_Honor020_Name,,,,0,,,,,,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,20,2,
2021,2,4,#CSO_Quest_Honor021_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,21,1,
2022,2,4,#CSO_Quest_Honor022_Name,,,,0,,,,,,,100,,,100,,,,,,,,,,,,,4,4007,,,,,,,22,6,
2023,2,4,#CSO_Quest_Honor023_Name,,,,0,,,,,,,30,,,,,,,,,,,,,,,,4,4008,,,,,,,23,6,
2024,2,4,#CSO_Quest_Honor024_Name,,,,0,,,,,,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,24,3,
2025,2,4,#CSO_Quest_Honor025_Name,,#CSO_Quest_Honor025_Desc,,0,,,,,#CSO_Quest_Honor025_Cond1,,300,,,,,,,,,,,,,,,,4,4006,,,,,,,25,4,
2026,2,4,#CSO_Quest_Honor026_Name,,#CSO_Quest_Honor026_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor026_Cond1,,300,,,,,,,,,,,,,,,,4,4007,,,,,,,26,7,
2027,2,4,#CSO_Quest_Honor027_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,1000,,,,,,,,,,,,,,,,4,4008,,,,,,,27,7,
2028,2,4,#CSO_Quest_Honor028_Name,,#CSO_Quest_Honor028_Desc,,0,,,,,#CSO_Quest_Honor028_Cond1,,1,,,,,,,,,,,,,,,,4,4009,,,,,,,28,7,
2029,2,4,#CSO_Quest_Honor029_Name,,#CSO_Quest_Honor029_Desc,,0,,,,,#CSO_Quest_Honor029_Cond1,,1,,,,,,,,,,,,,,,,4,4008,,,,,,,29,7,
2030,2,4,#CSO_Quest_Honor030_Name,,,,0,,,,,,,100,,,,,,,,,,,,,,,,4,4009,,,,,,,30,7,
2034,2,4,#CSO_Quest_Honor034_Name,,#CSO_Quest_Honor034_Desc,,0,,,,,#CSO_Quest_Honor034_Cond1,,300,,,,,,,,,,,,,,,,4,4006,,,,,,,34,4,
2035,2,4,#CSO_Quest_Honor035_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,35,7,1
2036,2,4,#CSO_Quest_Honor036_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,36,7,1
2037,2,4,#CSO_Quest_Honor037_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,37,7,1
2038,2,4,#CSO_Quest_Honor038_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,38,7,1
2039,2,4,#CSO_Quest_Honor039_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,39,7,1
2040,2,4,#CSO_Quest_Honor040_Name,,#CSO_Quest_Honor040_Desc,,0,,,,,#CSO_Quest_Honor040_Cond1,,100,,,,,,,,,,,,,,,,4,4008,,,,,,,40,1,
2041,2,4,#CSO_Quest_Honor041_Name,,#CSO_Quest_Honor041_Desc,,0,,,,,#CSO_Quest_Honor041_Cond1,,100,,,,,,,,,,,,,,,,4,4007,,,,,,,41,1,
2042,2,4,#CSO_Quest_Honor042_Name,,#CSO_Quest_Honor042_Desc,,0,,,,,#CSO_Quest_Honor042_Cond1,,100,,,,,,,,,,,,,,,,4,4008,,,,,,,42,1,
2043,2,4,#CSO_Quest_Honor043_Name,,#CSO_Quest_Honor043_Desc,,0,,,,,#CSO_Quest_Honor043_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,43,1,
2044,2,4,#CSO_Quest_Honor044_Name,,#CSO_Quest_Honor044_Desc,,0,,,,,#CSO_Quest_Honor044_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,44,1,
2045,2,4,#CSO_Quest_Honor045_Name,,#CSO_Quest_Honor045_Desc,,0,,,,<vars><m74 init='0' /><m75 init='0' /><m76 init='0' /><m77 init='0' /><m85 init='0' /><m98 init='0' /></vars>,#CSO_Quest_Honor045_Cond1,,1,,,,,,,,,,,,,,,,4,4005,,,,,,,45,1,
2046,2,4,#CSO_Quest_Honor046_Name,,,,0,,,<args><goal value='1000000' testvalue='50'/></args>,<vars><kill init='0' /></vars>,,,1,,,,,,,,,,,,,,,,4,4009,,,,,,,46,1,
2048,2,4,#CSO_Quest_Honor048_Name,,#CSO_Quest_Honor048_Desc,,0,,,,,#CSO_Quest_Honor048_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,48,7,
2049,2,4,#CSO_Quest_Honor049_Name,,#CSO_Quest_Honor049_Desc,,0,,,,,#CSO_Quest_Honor049_Cond1,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,49,5,
2050,2,4,#CSO_Quest_Honor050_Name,,#CSO_Quest_Honor050_Desc,,0,,,,,#CSO_Quest_Honor050_Cond1,,100,,,,,,,,,,,,,,,,4,4007,,,,,,,50,5,
2051,2,4,#CSO_Quest_Honor051_Name,,#CSO_Quest_Honor051_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor051_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,51,5,
2052,2,4,#CSO_Quest_Honor052_Name,,#CSO_Quest_Honor052_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor052_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,52,5,
2053,2,4,#CSO_Quest_Honor053_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,53,5,1
2056,2,4,#CSO_Quest_Honor056_Name,,#CSO_Quest_Honor056_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,<vars><kill init='0' /><flag init='0' /></vars>,#CSO_Quest_Honor056_Cond1,,1000,,,,,,,,,,,,,,,,4,4007,,,,,,,56,4,
2057,2,4,#CSO_Quest_Honor057_Name,,#CSO_Quest_Honor057_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor057_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,57,1,
2058,2,4,#CSO_Quest_Honor058_Name,,#CSO_Quest_Honor058_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor058_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,58,1,
2059,2,4,#CSO_Quest_Honor059_Name,,#CSO_Quest_Honor059_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor059_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,59,1,
2060,2,4,#CSO_Quest_Honor060_Name,,#CSO_Quest_Honor060_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor060_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,60,1,
2061,2,4,#CSO_Quest_Honor061_Name,,#CSO_Quest_Honor061_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor061_Cond1,,3000,,,,,,,,,,,,,,,,4,4006,,,,,,,61,2,
2062,2,4,#CSO_Quest_Honor062_Name,,#CSO_Quest_Honor062_Desc,,0,,,,,#CSO_Quest_Honor062_Cond1,,300,,,,,,,,,,,,,,,,4,4006,,,,,,,62,6,
2063,2,4,#CSO_Quest_Honor063_Name,,#CSO_Quest_Honor063_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor063_Cond1,,3000,,,,,,,,,,,,,,,,4,4006,,,,,,,63,3,
2064,2,4,#CSO_Quest_Honor064_Name,,#CSO_Quest_Honor064_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor064_Cond1,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,64,2,
2065,2,4,#CSO_Quest_Honor065_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,65,7,1
2066,2,4,#CSO_Quest_Honor066_Name,,#CSO_Quest_Honor066_Desc,,0,,,,,#CSO_Quest_Honor066_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,66,6,
2067,2,4,#CSO_Quest_Honor067_Name,,#CSO_Quest_Honor067_Desc,,0,,,,,#CSO_Quest_Honor067_Cond1,,3000,,,,,,,,,,,,,,,,4,4008,,,,,,,67,6,
2068,2,4,#CSO_Quest_Honor068_Name,,#CSO_Quest_Honor068_Desc,,0,,,,,#CSO_Quest_Honor068_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,68,1,
2069,2,4,#CSO_Quest_Honor069_Name,,#CSO_Quest_Honor069_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor069_Cond1,,1000,#CSO_Quest_Honor069_Cond2,,500,#CSO_Quest_Honor069_Cond3,,400,#CSO_Quest_Honor069_Cond4,,300,#CSO_Quest_Honor069_Cond5,,200,#CSO_Quest_Honor069_Cond6,,100,4,4007,,,,,,,69,4,
2070,2,4,#CSO_Quest_Honor070_Name,,#CSO_Quest_Honor070_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor070_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,70,1,
2071,2,4,#CSO_Quest_Honor071_Name,,#CSO_Quest_Honor071_Desc,,0,,,,,#CSO_Quest_Honor071_Cond1,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,71,6,
2072,2,4,#CSO_Quest_Honor072_Name,,,,0,,,,,,,1000,,,,,,,,,,,,,,,,4,4007,,,,,,,72,6,
2073,2,4,#CSO_Quest_Honor073_Name,,#CSO_Quest_Honor073_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor073_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,73,1,
2074,2,4,#CSO_Quest_Honor074_Name,,#CSO_Quest_Honor074_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor074_Cond1,,5000,,,,,,,,,,,,,,,,4,4006,,,,,,,74,3,
2075,2,4,#CSO_Quest_Honor075_Name,,#CSO_Quest_Honor075_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor075_Cond1,,150,#CSO_Quest_Honor075_Cond2,,100,,,,,,,,,,,,,4,4006,,,,,,,75,6,
2076,2,4,#CSO_Quest_Honor076_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,76,1,1
2080,2,4,#CSO_Quest_Honor080_Name,,#CSO_Quest_Honor080_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor080_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,80,1,
2081,2,4,#CSO_Quest_Honor081_Name,,#CSO_Quest_Honor081_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor081_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,81,1,
2082,2,4,#CSO_Quest_Honor082_Name,,#CSO_Quest_Honor082_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor082_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,82,1,
2083,2,4,#CSO_Quest_Honor083_Name,,#CSO_Quest_Honor083_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor083_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,83,1,
2084,2,4,#CSO_Quest_Honor084_Name,,#CSO_Quest_Honor084_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor084_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,84,1,
2085,2,4,#CSO_Quest_Honor085_Name,,#CSO_Quest_Honor085_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor085_Cond1,,1000,,,,,,,,,,,,,,,,4,4007,,,,,,,85,4,
2086,2,4,#CSO_Quest_Honor086_Name,,#CSO_Quest_Honor086_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor086_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,86,3,
2087,2,4,#CSO_Quest_Honor087_Name,,#CSO_Quest_Honor087_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor087_Cond1,,100,,,,,,,,,,,,,,,,4,4007,,,,,,,87,3,
2088,2,4,#CSO_Quest_Honor088_Name,,#CSO_Quest_Honor088_Desc,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,88,7,1
2089,2,4,#CSO_Quest_Honor089_Name,,#CSO_Quest_Honor089_Desc,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,89,7,1
2090,2,4,#CSO_Quest_Honor090_Name,,#CSO_Quest_Honor090_Desc,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,90,7,1
2091,2,4,#CSO_Quest_Honor091_Name,,#CSO_Quest_Honor091_Desc,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,91,7,1
