;Number,"Type(0=Daily, 1=Special, 2=Honor, 3=Weekly / 10=PC_daily, 11=PC_special, 12=PC_honor)","NPC(1=evelyn, 2=pelix, 3=douglas, 4=victor, 5=zim, 6=chen, 7=rowen )",Title,Title_para,NPC_talk,NPC_talk_para,Pre_quest,Start_time,End_time,"Arguments(XML, used for server)","Variables(XML, used for server)",Cond0,Cond0_para,Cond0_obj,Cond1,Cond1_para,Cond1_obj,Cond2,Cond2_para,Cond2_obj,Cond3,Cond3_para,Cond3_obj,Cond4,Cond4_para,Cond4_obj,Cond5,Cond5_para,Cond5_obj,"Reward0_resourcename(0=4001, 1=4002, 2=4003, 3=4004, 4=4005~4010, 5=4011, 6=4012, 7=4013, 8=4014)",Reward0_related_reward_ID,Reward1_resourcename,Reward1_related_reward_ID,Reward2_resourcename,Reward2_related_reward_ID,Reward3_resourcename,Reward3_related_reward_ID,Title ID,"HonorQuestType(1=시나리오, 2=펀, 3=좀비, 4=킬러X, 5=클랜, 6=작업병, 7=기록병)",조건지급식 여부(1=조건지급)
1,0,1,#CSO_Quest_Daily001_Name,,#CSO_Quest_Daily001_Desc,,0,,,,,#CSO_Quest_Daily001_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
2,0,5,#CSO_Quest_Daily002_Name,,#CSO_Quest_Daily002_Desc,,0,,,,,#CSO_Quest_Daily002_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
3,0,4,#CSO_Quest_Daily003_Name,,#CSO_Quest_Daily003_Desc,,0,,,,<vars><val init='0' /></vars>,#CSO_Quest_Daily003_Cond1_Arg1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
4,0,2,#CSO_Quest_Daily004_Name,,#CSO_Quest_Daily004_Desc,,0,,,,,#CSO_Quest_Daily004_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
5,0,1,#CSO_Quest_Daily005_Name,,#CSO_Quest_Daily005_Desc,,0,,,,,#CSO_Quest_Daily005_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
6,0,3,#CSO_Quest_Daily006_Name,,#CSO_Quest_Daily006_Desc,,0,,,,,#CSO_Quest_Daily006_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
7,0,4,#CSO_Quest_Daily007_Name,,#CSO_Quest_Daily007_Desc,,0,,,,,#CSO_Quest_Daily007_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
8,0,5,#CSO_Quest_Daily008_Name,,#CSO_Quest_Daily008_Desc,,0,,,,<vars><knife init='0' /><pistol init='0' /></vars>,#CSO_Quest_Daily008_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
9,0,4,#CSO_Quest_Daily009_Name,,#CSO_Quest_Daily009_Desc,,0,,,,<vars><val init='0' /></vars>,#CSO_Quest_Daily009_Cond1_Arg1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
10,0,0,#CSO_Quest_Daily010_Name,,#CSO_Quest_Daily010_Desc,,0,,,,<vars><flag init='0' /></vars>,#CSO_Quest_Daily010_Cond1,,3,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
11,0,0,#CSO_Quest_Daily011_Name,,#CSO_Quest_Daily011_Desc,,0,,,,,#CSO_Quest_Daily011_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
12,0,3,#CSO_Quest_Daily012_Name,,#CSO_Quest_Daily012_Desc,,0,,,,,#CSO_Quest_Daily012_Cond1,,1,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
13,0,5,#CSO_Quest_Daily013_Name,,#CSO_Quest_Daily013_Desc,,0,,,,,#CSO_Quest_Daily013_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
14,0,2,#CSO_Quest_Daily014_Name,,#CSO_Quest_Daily014_Desc,,0,,,,,#CSO_Quest_Daily014_Cond1,,10,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
16,0,2,#CSO_Quest_Daily016_Name,,#CSO_Quest_Daily016_Desc,,0,,,,,#CSO_Quest_Daily016_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
17,0,3,#CSO_Quest_Daily017_Name,,#CSO_Quest_Daily017_Desc,,0,,,,,#CSO_Quest_Daily017_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
18,0,4,#CSO_Quest_Daily018_Name,,#CSO_Quest_Daily018_Desc,,0,,,,,#CSO_Quest_Daily018_Cond1,,5,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
19,0,0,#CSO_Quest_Daily019_Name,,#CSO_Quest_Daily019_Desc,,0,,,,,#CSO_Quest_Daily019_Cond1,,50,,,,,,,,,,,,,,,,0,4001,2,4003,,,,,,,
20,0,2,#CSO_Quest_Daily020_Name,,#CSO_Quest_Daily020_Desc,,0,,,,,#CSO_Quest_Daily020_Cond1,,3,#CSO_Quest_Daily020_Cond2,,3,#CSO_Quest_Daily020_Cond3,,3,,,,,,,,,,0,4001,2,4003,,,,,,,
601,13,7,#CSO_Quest_PC_Weekly001_Name,,#CSO_Quest_PC_Weekly001_Desc,,0,,,,<vars><dt init='0' /></vars>,#CSO_Quest_PC_Weekly001_Cond1,,5,,,,,,,,,,,,,,,,11,4017,12,4018,,,,,,,
602,13,7,#CSO_Quest_PC_Weekly002_Name,,#CSO_Quest_PC_Weekly002_Desc,,0,,,,<vars><num init='0' /></vars>,#CSO_Quest_PC_Weekly002_Cond1,,5,,,,,,,,,,,,,,,,11,4017,12,4018,,,,,,,
901,10,1,#CSO_Quest_PC_Daily001_Name,,#CSO_Quest_PC_Daily001_Desc,,,,,,,#CSO_Quest_PC_Daily001_Cond1,,50,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
902,10,1,#CSO_Quest_PC_Daily002_Name,,#CSO_Quest_PC_Daily002_Desc,,,,,,,#CSO_Quest_PC_Daily002_Cond1,,150,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
903,10,1,#CSO_Quest_PC_Daily003_Name,,#CSO_Quest_PC_Daily003_Desc,,,,,,,#CSO_Quest_PC_Daily003_Cond1,,300,,,,,,,,,,,,,,,,5,4011,7,4013,,,,,,,
1001,1,4,#CSO_Quest_Special001_Name_Arg1,<mapName>,#CSO_Quest_Special001_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special001_Cond1_Arg1,<mapName>,15,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1002,1,2,#CSO_Quest_Special002_Name_Arg1,<mapName>,#CSO_Quest_Special002_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special002_Cond1_Arg1,<mapName>,60,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1003,1,2,#CSO_Quest_Special003_Name_Arg1,<mapName>,#CSO_Quest_Special003_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special003_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1004,1,4,#CSO_Quest_Special004_Name_Arg1,<mapName>,#CSO_Quest_Special004_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special004_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1005,1,2,#CSO_Quest_Special005_Name_Arg1,<mapName>,#CSO_Quest_Special005_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special005_Cond1_Arg1,<mapName>,120,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1006,1,2,#CSO_Quest_Special006_Name_Arg1,<mapName>,#CSO_Quest_Special006_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special006_Cond1_Arg1,<mapName>,80,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1007,1,0,#CSO_Quest_Special007_Name_Arg1,<mapName>,#CSO_Quest_Special007_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special007_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1008,1,0,#CSO_Quest_Special008_Name_Arg1,<mapName>,#CSO_Quest_Special008_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special008_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1009,1,0,#CSO_Quest_Special009_Name_Arg1,<mapName>,#CSO_Quest_Special009_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special009_Cond1_Arg1,<mapName>,5,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1012,1,2,#CSO_Quest_Special012_Name_Arg1,<mapName>,#CSO_Quest_Special012_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special012_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1013,1,4,#CSO_Quest_Special013_Name_Arg1,<mapName>,#CSO_Quest_Special013_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special013_Cond1_Arg1,<mapName>,150,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1015,1,2,#CSO_Quest_Special015_Name_Arg1,<mapName>,#CSO_Quest_Special015_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special015_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1016,1,2,#CSO_Quest_Special016_Name_Arg1,<mapName>,#CSO_Quest_Special016_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special016_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1017,1,2,#CSO_Quest_Special017_Name_Arg1,<mapName>,#CSO_Quest_Special017_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special017_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1018,1,4,#CSO_Quest_Special018_Name_Arg1,<mapName>,#CSO_Quest_Special018_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special018_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1019,1,2,#CSO_Quest_Special019_Name_Arg1,<mapName>,#CSO_Quest_Special019_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special019_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1020,1,0,#CSO_Quest_Special020_Name_Arg1,<mapName>,#CSO_Quest_Special020_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_Special020_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,1,4002,3,4004,,,,,,,
1501,11,4,#CSO_Quest_PC_Special001_Name_Arg1,<mapName>,#CSO_Quest_PC_Special001_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special001_Cond1_Arg1,<mapName>,15,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1502,11,2,#CSO_Quest_PC_Special002_Name_Arg1,<mapName>,#CSO_Quest_PC_Special002_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special002_Cond1_Arg1,<mapName>,60,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1503,11,2,#CSO_Quest_PC_Special003_Name_Arg1,<mapName>,#CSO_Quest_PC_Special003_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special003_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1504,11,4,#CSO_Quest_PC_Special004_Name_Arg1,<mapName>,#CSO_Quest_PC_Special004_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special004_Cond1_Arg1,<mapName>,50,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1505,11,2,#CSO_Quest_PC_Special005_Name_Arg1,<mapName>,#CSO_Quest_PC_Special005_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special005_Cond1_Arg1,<mapName>,120,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1506,11,2,#CSO_Quest_PC_Special006_Name_Arg1,<mapName>,#CSO_Quest_PC_Special006_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special006_Cond1_Arg1,<mapName>,80,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1507,11,0,#CSO_Quest_PC_Special007_Name_Arg1,<mapName>,#CSO_Quest_PC_Special007_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special007_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1508,11,0,#CSO_Quest_PC_Special008_Name_Arg1,<mapName>,#CSO_Quest_PC_Special008_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special008_Cond1_Arg1,<mapName>,10,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1509,11,0,#CSO_Quest_PC_Special009_Name_Arg1,<mapName>,#CSO_Quest_PC_Special009_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special009_Cond1_Arg1,<mapName>,5,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1512,11,2,#CSO_Quest_PC_Special012_Name_Arg1,<mapName>,#CSO_Quest_PC_Special012_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special012_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1513,11,4,#CSO_Quest_PC_Special013_Name_Arg1,<mapName>,#CSO_Quest_PC_Special013_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special013_Cond1_Arg1,<mapName>,150,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1515,11,2,#CSO_Quest_PC_Special015_Name_Arg1,<mapName>,#CSO_Quest_PC_Special015_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special015_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1516,11,2,#CSO_Quest_PC_Special016_Name_Arg1,<mapName>,#CSO_Quest_PC_Special016_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special016_Cond1_Arg1,<mapName>,45,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1517,11,2,#CSO_Quest_PC_Special017_Name_Arg1,<mapName>,#CSO_Quest_PC_Special017_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special017_Cond1_Arg1,<mapName>,30,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1518,11,4,#CSO_Quest_PC_Special018_Name_Arg1,<mapName>,#CSO_Quest_PC_Special018_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special018_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1519,11,2,#CSO_Quest_PC_Special019_Name_Arg1,<mapName>,#CSO_Quest_PC_Special019_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special019_Cond1_Arg1,<mapName>,300,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
1520,11,0,#CSO_Quest_PC_Special020_Name_Arg1,<mapName>,#CSO_Quest_PC_Special020_Desc_Arg1,<mapName>,0,,,,<vars><map/><mode/></vars>,#CSO_Quest_PC_Special020_Cond1_Arg1,<mapName>,100,,,,,,,,,,,,,,,,6,4012,8,4014,,,,,,,
2001,2,4,#CSO_Quest_Honor001_Name,,#CSO_Quest_Honor001_Desc,,0,,,,,#CSO_Quest_Honor001_Cond1,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,1,7,
2002,2,4,#CSO_Quest_Honor002_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4008,,,,,,,2,7,
2003,2,4,#CSO_Quest_Honor003_Name,,#CSO_Quest_Honor003_Desc,,0,,,,,#CSO_Quest_Honor003_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,3,4,
2004,2,4,#CSO_Quest_Honor004_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,7,1
2005,2,4,#CSO_Quest_Honor005_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,5,1
2006,2,4,#CSO_Quest_Honor006_Name,,#CSO_Quest_Honor006_Desc,,0,,,,,#CSO_Quest_Honor006_Cond1,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,6,6,
2007,2,4,#CSO_Quest_Honor007_Name,,#CSO_Quest_Honor007_Desc,,0,,,,,#CSO_Quest_Honor007_Cond1,,5000,,,,,,,,,,,,,,,,4,4006,,,,,,,7,3,
2008,2,4,#CSO_Quest_Honor008_Name,,#CSO_Quest_Honor008_Desc,,0,,,,,#CSO_Quest_Honor008_Cond1,,5000,,,,,,,,,,,,,,,,4,4006,,,,,,,8,3,
2009,2,4,#CSO_Quest_Honor009_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,7,1
2010,2,4,#CSO_Quest_Honor010_Name,,#CSO_Quest_Honor010_Desc,,0,,,,,#CSO_Quest_Honor010_Cond1,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,10,4,
2011,2,4,#CSO_Quest_Honor011_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4009,,,,,,,11,7,
2012,2,4,#CSO_Quest_Honor012_Name,,#CSO_Quest_Honor012_Desc,,0,,,,<vars><playtime init='0'/></vars>,#CSO_Quest_Honor012_Cond1,,1,,,,,,,,,,,,,,,,4,4005,,,,,,,12,7,
2013,2,4,#CSO_Quest_Honor013_Name,,#CSO_Quest_Honor013_Desc,,0,,,,,#CSO_Quest_Honor013_Cond1,,100,,,,,,,,,,,,,,,,4,4005,,,,,,,13,2,
2014,2,4,#CSO_Quest_Honor014_Name,,#CSO_Quest_Honor014_Desc,,0,,,,,#CSO_Quest_Honor014_Cond1,,50,#CSO_Quest_Honor014_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,14,2,
2015,2,4,#CSO_Quest_Honor015_Name,,#CSO_Quest_Honor015_Desc,,0,,,,,#CSO_Quest_Honor015_Cond1,,100,#CSO_Quest_Honor015_Cond2,,100,,,,,,,,,,,,,4,4005,,,,,,,15,2,
2016,2,4,#CSO_Quest_Honor016_Name,,#CSO_Quest_Honor016_Desc,,0,,,,,#CSO_Quest_Honor016_Cond1,,200,#CSO_Quest_Honor016_Cond2,,10,,,,,,,,,,,,,4,4005,,,,,,,16,2,
2017,2,4,#CSO_Quest_Honor017_Name,,#CSO_Quest_Honor017_Desc,,0,,,,,#CSO_Quest_Honor017_Cond1,,50,,,,,,,,,,,,,,,,4,4005,,,,,,,17,2,
2018,2,4,#CSO_Quest_Honor018_Name,,,,0,,,,,,,5000,,,100,,,1000,,,100,,,,,,,4,4007,,,,,,,18,2,
2019,2,4,#CSO_Quest_Honor019_Name,,,,0,,,,,,,500,,,1000,,,5000,,,,,,,,,,4,4007,,,,,,,19,2,
2020,2,4,#CSO_Quest_Honor020_Name,,,,0,,,,,,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,20,2,
2021,2,4,#CSO_Quest_Honor021_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,4,4006,,,,,,,21,1,
2022,2,4,#CSO_Quest_Honor022_Name,,,,0,,,,,,,100,,,100,,,,,,,,,,,,,4,4007,,,,,,,22,6,
2023,2,4,#CSO_Quest_Honor023_Name,,,,0,,,,,,,30,,,,,,,,,,,,,,,,4,4008,,,,,,,23,6,
2024,2,4,#CSO_Quest_Honor024_Name,,,,0,,,,,,,10000,,,,,,,,,,,,,,,,4,4006,,,,,,,24,3,
2026,2,4,#CSO_Quest_Honor026_Name,,#CSO_Quest_Honor026_Desc,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,#CSO_Quest_Honor026_Cond1,,300,,,,,,,,,,,,,,,,4,4007,,,,,,,26,7,
2027,2,4,#CSO_Quest_Honor027_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,1000,,,,,,,,,,,,,,,,4,4008,,,,,,,27,7,
2035,2,4,#CSO_Quest_Honor035_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,35,7,1
2036,2,4,#CSO_Quest_Honor036_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,36,7,1
2037,2,4,#CSO_Quest_Honor037_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,37,7,1
2038,2,4,#CSO_Quest_Honor038_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,38,7,1
2039,2,4,#CSO_Quest_Honor039_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,39,7,1
2048,2,4,#CSO_Quest_Honor048_Name,,#CSO_Quest_Honor048_Desc,,0,,,,,#CSO_Quest_Honor048_Cond1,,100,,,,,,,,,,,,,,,,4,4006,,,,,,,48,7,
2049,2,4,#CSO_Quest_Honor049_Name,,#CSO_Quest_Honor049_Desc,,0,,,,,#CSO_Quest_Honor049_Cond1,,2500,,,,,,,,,,,,,,,,4,4009,,,,,,,49,5,
2050,2,4,#CSO_Quest_Honor050_Name,,#CSO_Quest_Honor050_Desc,,0,,,,,#CSO_Quest_Honor050_Cond1,,100,,,,,,,,,,,,,,,,4,4007,,,,,,,50,5,
2051,2,4,#CSO_Quest_Honor051_Name,,#CSO_Quest_Honor051_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor051_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,51,5,
2052,2,4,#CSO_Quest_Honor052_Name,,#CSO_Quest_Honor052_Desc,,0,,,<args><clanMemberLimit value='4' testvalue='1'/></args>,<vars><dt_sec /></vars>,#CSO_Quest_Honor052_Cond1,,350,,,,,,,,,,,,,,,,4,4007,,,,,,,52,5,
2053,2,4,#CSO_Quest_Honor053_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,53,5,1
2056,2,4,#CSO_Quest_Honor056_Name,,#CSO_Quest_Honor056_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,<vars><kill init='0' /><flag init='0' /></vars>,#CSO_Quest_Honor056_Cond1,,1000,,,,,,,,,,,,,,,,4,4007,,,,,,,56,4,
2069,2,4,#CSO_Quest_Honor069_Name,,#CSO_Quest_Honor069_Desc,,0,,,<args><memberLimit value='8' testvalue='1'/></args>,,#CSO_Quest_Honor069_Cond1,,1000,#CSO_Quest_Honor069_Cond2,,500,#CSO_Quest_Honor069_Cond3,,400,#CSO_Quest_Honor069_Cond4,,300,#CSO_Quest_Honor069_Cond5,,200,#CSO_Quest_Honor069_Cond6,,100,4,4007,,,,,,,69,4,
2075,2,4,#CSO_Quest_Honor075_Name,,#CSO_Quest_Honor075_Desc,,0,,,<args><memberLimit value='6' testvalue='1'/></args>,,#CSO_Quest_Honor075_Cond1,,150,#CSO_Quest_Honor075_Cond2,,100,,,,,,,,,,,,,4,4006,,,,,,,75,6,
2088,2,4,#CSO_Quest_Honor088_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,88,7,1
2089,2,4,#CSO_Quest_Honor089_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,89,7,1
2090,2,4,#CSO_Quest_Honor090_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,90,7,1
2091,2,4,#CSO_Quest_Honor091_Name,,,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,91,7,1
2031,2,4,#CSO_Quest_Honor031_Name,,#CSO_Quest_Honor031_Desc,,0,,,,,#CSO_Quest_Honor031_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,31,2,
2032,2,4,#CSO_Quest_Honor032_Name,,#CSO_Quest_Honor032_Desc,,0,,,,,#CSO_Quest_Honor032_Cond1,,1000,,,,,,,,,,,,,,,,4,4006,,,,,,,32,2,
2033,2,4,#CSO_Quest_Honor033_Name,,,,0,,,<args><memberLimit value='4' testvalue='1'/></args>,,,,3000,,,,,,,,,,,,,,,,4,4009,,,,,,,33,2,
