Nation INDEX,Nation,City INDEX,City,Town INDEX,Town
1,阿布哈茲,1,阿布哈茲,1,阿布哈茲
2,阿富汗,2,阿富汗,2,阿富汗
3,亞美尼亞,3,亞美尼亞,3,亞美尼亞
4,阿爾薩赫,4,阿爾薩赫,4,阿爾薩赫
5,澳洲,5,澳洲,5,澳洲
6,奧地利,6,奧地利,6,奧地利
7,阿塞拜疆,7,阿塞拜疆,7,阿塞拜疆
8,巴林,8,巴林,8,巴林
9,孟加拉,9,孟加拉,9,孟加拉
10,白俄羅斯,10,白俄羅斯,10,白俄羅斯
11,比利時,11,比利時,11,比利時
12,波士尼亞與赫塞哥維納,12,波士尼亞與赫塞哥維納,12,波士尼亞與赫塞哥維納
13,不丹,13,不丹,13,不丹
14,汶莱,14,汶莱,14,汶莱
15,保加利亞,15,保加利亞,15,保加利亞
16,加拿大,16,加拿大,16,加拿大
17,柬埔寨,17,柬埔寨,17,柬埔寨
18,中國,18,中國,18,中國
19,克羅地亞,19,克羅地亞,19,克羅地亞
20,賽普勒斯,20,賽普勒斯,20,賽普勒斯
21,捷克,21,捷克,21,捷克
22,丹麥,22,丹麥,22,丹麥
23,愛沙尼亞,23,愛沙尼亞,23,愛沙尼亞
24,芬蘭,24,芬蘭,24,芬蘭
25,法國,25,法國,25,法國
26,喬治亞,26,喬治亞,26,喬治亞
27,德國,27,德國,27,德國
28,希臘,28,希臘,28,希臘
29,匈牙利,29,匈牙利,29,匈牙利
30,香港,30,香港,30,香港
31,冰島,31,冰島,31,冰島
32,印度,32,印度,32,印度
33,印尼,33,印尼,33,印尼
34,伊朗,34,伊朗,34,伊朗
35,伊拉克,35,伊拉克,35,伊拉克
36,以色列,36,以色列,36,以色列
37,愛爾蘭,37,愛爾蘭,37,愛爾蘭
38,義大利,38,義大利,38,義大利
39,日本,39,日本,39,日本
40,約旦,40,約旦,40,約旦
41,哈薩克斯坦,41,哈薩克斯坦,41,哈薩克斯坦
42,科威特,42,科威特,42,科威特
43,吉爾吉斯斯坦,43,吉爾吉斯斯坦,43,吉爾吉斯斯坦
44,寮國,44,寮國,44,寮國
45,拉脫維亞,45,拉脫維亞,45,拉脫維亞
46,黎巴嫩,46,黎巴嫩,46,黎巴嫩
47,列支敦士登,47,列支敦士登,47,列支敦士登
48,立陶宛,48,立陶宛,48,立陶宛
49,盧森堡,49,盧森堡,49,盧森堡
50,馬耳他,50,馬耳他,50,馬耳他
51,馬來西亞,51,馬來西亞,51,馬來西亞
52,馬爾地夫,52,馬爾地夫,52,馬爾地夫
53,墨西哥,53,墨西哥,53,墨西哥
54,摩爾多瓦,54,摩爾多瓦,54,摩爾多瓦
55,蒙古,55,蒙古,55,蒙古
56,緬甸,56,緬甸,56,緬甸
57,尼泊爾,57,尼泊爾,57,尼泊爾
58,荷蘭,58,荷蘭,58,荷蘭
59,紐西蘭,59,紐西蘭,59,紐西蘭
60,挪威,60,挪威,60,挪威
61,北韓,61,北韓,61,北韓
62,北賽普勒斯,62,北賽普勒斯,62,北賽普勒斯
63,阿曼,63,阿曼,63,阿曼
64,巴基斯坦,64,巴基斯坦,64,巴基斯坦
65,菲律賓,65,菲律賓,65,菲律賓
66,波蘭,66,波蘭,66,波蘭
67,葡萄牙,67,葡萄牙,67,葡萄牙
68,卡塔爾,68,卡塔爾,68,卡塔爾
69,羅馬尼亞,69,羅馬尼亞,69,羅馬尼亞
70,俄羅斯,70,俄羅斯,70,俄羅斯
71,沙烏地阿拉伯,71,沙烏地阿拉伯,71,沙烏地阿拉伯
72,塞爾維亞,72,塞爾維亞,72,塞爾維亞
73,新加坡,73,新加坡,73,新加坡
74,斯洛伐克,74,斯洛伐克,74,斯洛伐克
75,斯洛文尼亞,75,斯洛文尼亞,75,斯洛文尼亞
76,南韓,76,南韓,76,南韓
77,南奧塞提亞,77,南奧塞提亞,77,南奧塞提亞
78,西班牙,78,西班牙,78,西班牙
79,斯里蘭卡,79,斯里蘭卡,79,斯里蘭卡
80,巴勒斯坦,80,巴勒斯坦,80,巴勒斯坦
81,敘利亞,81,敘利亞,81,敘利亞
82,瑞典,82,瑞典,82,瑞典
83,瑞士,83,瑞士,83,瑞士
84,台灣,84,台灣,84,台灣
85,塔吉克斯坦,85,塔吉克斯坦,85,塔吉克斯坦
86,泰國,86,泰國,86,泰國
87,東帝汶,87,東帝汶,87,東帝汶
88,土耳其,88,土耳其,88,土耳其
89,土庫曼斯坦,89,土庫曼斯坦,89,土庫曼斯坦
90,烏克蘭,90,烏克蘭,90,烏克蘭
91,阿拉伯聯合大公國,91,阿拉伯聯合大公國,91,阿拉伯聯合大公國
92,英國,92,英國,92,英國
93,美國,93,美國,93,美國
94,烏茲別克斯坦,94,烏茲別克斯坦,94,烏茲別克斯坦
95,越南,95,越南,95,越南
96,葉門,96,葉門,96,葉門